flag,sent_tnx,total_transactions_(including_tnx_to_create_contract,min_val_sent,received_tnx,avg_val_sent,avg_min_between_received_tnx,avg_val_received,min_val_received,unique_received_from_addresses,time_diff_between_first_and_last_(min)
1.0,1.0,20.0,106.88610731,19.0,106.88610731,1.0296296296166667,5.625650911052632,4.93264578,19.0,85623.16666666667
1.0,1.0,2.0,4.93264578,1.0,4.93264578,0.0,4.93356978,4.93356978,1.0,5110.0
1.0,1.0,2.0,5.89775429,1.0,5.89775429,0.0,5.89865729,5.89865729,1.0,5118.7
1.0,1.0,2.0,5.60885129,1.0,5.60885129,0.0,5.60973329,5.60973329,1.0,5124.35
1.0,1.0,2.0,5.66660896,1.0,5.66660896,0.0,5.66757496,5.66757496,1.0,5134.016666666666
1.0,1.0,2.0,5.56731327,1.0,5.56731327,0.0,5.56819527,5.56819527,1.0,5127.083333333333
1.0,1.0,2.0,5.86453153,1.0,5.86453153,0.0,5.86541353,5.86541353,1.0,5131.916666666667
1.0,1.0,2.0,5.64329933,1.0,5.64329933,0.0,5.64418133,5.64418133,1.0,5134.816666666667
1.0,1.0,2.0,5.78653227,1.0,5.78653227,0.0,5.78741427,5.78741427,1.0,5136.816666666667
1.0,1.0,2.0,5.51526714,1.0,5.51526714,0.0,5.51614914,5.51614914,1.0,5144.9
1.0,1.0,2.0,5.69485547,1.0,5.69485547,0.0,5.69575847,5.69575847,1.0,5148.866666666667
1.0,1.0,2.0,5.69423066,1.0,5.69423066,0.0,5.69515466,5.69515466,1.0,5154.0
1.0,1.0,2.0,5.6583297,1.0,5.6583297,0.0,5.6592957,5.6592957,1.0,5159.1
1.0,1.0,2.0,5.64203741,1.0,5.64203741,0.0,5.64296141,5.64296141,1.0,5203.716666666666
1.0,1.0,2.0,5.6546957,1.0,5.6546957,0.0,5.6556827,5.6556827,1.0,5195.233333333334
1.0,1.0,2.0,5.60897834,1.0,5.60897834,0.0,5.60996534,5.60996534,1.0,5190.333333333333
1.0,1.0,2.0,5.64021103,1.0,5.64021103,0.0,5.64119803,5.64119803,1.0,5185.816666666667
1.0,1.0,2.0,5.54105297,1.0,5.54105297,0.0,5.54203997,5.54203997,1.0,5176.983333333334
1.0,1.0,2.0,5.64679652,1.0,5.64679652,0.0,5.64778352,5.64778352,1.0,5164.283333333334
1.0,1.0,2.0,5.62337565,1.0,5.62337565,0.0,5.62436265,5.62436265,1.0,5161.333333333333
